cdc-center |127.0.0.1 |2025-04-25 13:37:44.274 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService : 308 | Proposing leadership to contender LeaderContender: DefaultDispatcherRunner
cdc-center |127.0.0.1 |2025-04-25 13:37:44.276 |  INFO | flink-akka.actor.default-dispatcher-2 | org.apache.flink.runtime.resourcemanager.ResourceManager : 234 | Starting the resource manager.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.276 |  INFO | mini-cluster-io-thread-2 | org.apache.flink.runtime.dispatcher.runner.DefaultDispatcherRunner : 107 | DefaultDispatcherRunner was granted leadership with leader id 4837c605-c2b4-471f-a6cf-071adf0fba94. Creating new DispatcherLeaderProcess.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.276 |  INFO | flink-akka.actor.default-dispatcher-2 | org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService : 308 | Proposing leadership to contender LeaderContender: StandaloneResourceManager
cdc-center |127.0.0.1 |2025-04-25 13:37:44.278 |  INFO | flink-akka.actor.default-dispatcher-2 | org.apache.flink.runtime.resourcemanager.ResourceManager : 1230 | ResourceManager akka://flink/user/rpc/resourcemanager_1 was granted leadership with fencing token 92fe10876f3a724893426af255124739
cdc-center |127.0.0.1 |2025-04-25 13:37:44.290 |  INFO | mini-cluster-io-thread-2 | org.apache.flink.runtime.dispatcher.runner.AbstractDispatcherLeaderProcess : 97 | Start SessionDispatcherLeaderProcess.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.293 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.minicluster.MiniCluster : 413 | Flink Mini Cluster started successfully
cdc-center |127.0.0.1 |2025-04-25 13:37:44.294 |  INFO | mini-cluster-io-thread-5 | org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess : 117 | Recover all persisted job graphs.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.294 |  INFO | mini-cluster-io-thread-5 | org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess : 125 | Successfully recovered 0 persisted job graphs.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.296 |  INFO | mini-cluster-io-thread-6 | org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService : 256 | Received confirmation of leadership for leader akka://flink/user/rpc/resourcemanager_1 , session=93426af2-5512-4739-92fe-10876f3a7248
